geoid,county,state,shore,total_2010,white_2010,black_2010,amer_ind_2010,asian_2010,nhpi_2010,other_2010,two_or_more_2010,hispanic_2010,not hispanic_2010,total_2020,white_2020,black_2020,amer_ind_2020,asian_2020,nhpi_2020,other_2020,two_or_more_2020,hispanic_2020,not hispanic_2020
24001,Allegany County,Maryland,western_shore,75087,66981,6028,107,568,31,186,1186,1085,74002,68106,58377,5341,137,742,22,468,3019,1149,66957
24003,Anne Arundel County,Maryland,western_shore,537656,405456,83484,1665,18352,484,12642,15573,32902,504754,588261,377634,104473,2354,25504,449,28369,49478,56796,531465
24005,Baltimore County,Maryland,western_shore,805029,520185,209738,2625,40077,319,12801,19284,33735,771294,854535,452124,255793,3527,54968,304,34198,53621,61492,793043
24009,Calvert County,Maryland,western_shore,88737,72231,11930,329,1260,44,578,2365,2437,86300,92783,69935,12100,305,1581,79,1298,7485,4202,88581
24011,Caroline County,Maryland,eastern_shore,33066,26396,4585,123,188,53,1011,710,1816,31250,33293,24479,4434,146,350,19,1696,2169,2820,30473
24013,Carroll County,Maryland,western_shore,167134,155282,5332,328,2418,56,1199,2519,4363,162771,172891,148621,6482,396,3775,43,2974,10600,7745,165146
24015,Cecil County,Maryland,eastern_shore,101108,90189,6284,294,1097,48,1019,2177,3407,97701,103725,84806,7803,294,1247,23,2083,7469,5450,98275
24017,Charles County,Maryland,western_shore,146551,73677,60031,957,4366,103,1963,5454,6259,140292,166617,58587,82035,1236,5706,168,5544,13341,11677,154940
24019,Dorchester County,Maryland,eastern_shore,32618,22065,9042,112,301,9,463,626,1130,31488,32531,20128,9140,132,355,9,958,1809,1777,30754
24021,Frederick County,Maryland,western_shore,233385,190306,20148,730,8946,107,6684,6464,17135,216250,271717,189470,27802,1165,13570,189,14435,25086,32119,239598
24023,Garrett County,Maryland,western_shore,30097,29440,301,43,76,0,39,198,220,29877,28806,27521,246,33,85,7,131,783,321,28485
24025,Harford County,Maryland,western_shore,244826,198763,31058,614,5826,199,2318,6048,8613,236213,260924,190128,37706,712,8173,198,5508,18499,14007,246917
24027,Howard County,Maryland,western_shore,287085,178523,50188,866,41221,123,5709,10455,16729,270356,332317,159329,65275,1190,66288,134,12981,27120,27362,304955
24029,Kent County,Maryland,eastern_shore,20197,16169,3056,42,165,6,393,366,907,19290,19198,14574,2808,41,251,0,441,1083,1061,18137
24031,Montgomery County,Maryland,western_shore,971777,558358,167315,3639,135451,522,67847,38645,165398,806379,1062061,457783,197077,7036,163507,610,116786,119262,217409,844652
24033,Prince George's County,Maryland,western_shore,863420,166059,556620,4258,35172,541,73441,27329,128972,734448,967201,124863,578703,8935,41875,546,139685,72594,205463,761738
24035,Queen Anne's County,Maryland,eastern_shore,47798,42397,3298,149,469,12,651,822,1452,46346,49874,42290,2811,156,589,19,1269,2740,2538,47336
24037,St. Mary's County,Maryland,western_shore,105151,82636,15030,424,2596,73,1054,3338,3972,101179,113777,81952,16294,438,3362,90,2279,9362,6545,107232
24039,Somerset County,Maryland,eastern_shore,26470,14170,11192,85,184,7,371,461,863,25607,24620,13076,9505,115,254,1,675,994,1075,23545
24041,Talbot County,Maryland,eastern_shore,37782,30746,4829,65,472,22,1030,618,2073,35709,37526,28436,4249,146,538,12,1906,2239,3352,34174
24043,Washington County,Maryland,western_shore,147430,125447,14133,314,2056,66,1626,3788,5104,142326,154705,117465,17691,465,3109,89,4605,11281,10289,144416
24045,Wicomico County,Maryland,eastern_shore,98733,67784,23873,236,2471,47,1872,2450,4478,94255,103588,61425,27990,438,3152,42,3766,6775,7091,96497
24047,Worcester County,Maryland,eastern_shore,51454,42194,7022,145,573,11,632,877,1622,49832,52460,41845,6236,136,753,8,840,2642,2078,50382
24510,Baltimore city,Maryland,western_shore,620961,183830,395781,2270,14548,274,11303,12955,25960,595001,585708,163026,338478,2312,21210,186,28046,32450,45927,539781
